Index,New
0,"Erfoud,Morocco"
1,"Ben Slimane,Morocco"
2,"Port Dickson,Negeri Sembilan,Malaysia"
3,"Sidi Moussa Ben Ali,Morocco"
4,"Kathmandu,Nepal"
5,Not found
6,"Abha,Aseer,Saudi Arabia"
7,"Abu Dhabi,United Arab Emirates"
8,"Tangier,Morocco"
9,Not found
10,"Sarajevo,Bosnia and Herzegovina"
11,"Negeri Sembilan,Malaysia"
12,"Abu Dhabi,United Arab Emirates"
13,"Lawrence,Massachusetts,United States"
14,"Ludwigshafen-Am-Rhein,Germany"
15,"Calgary,Canada"
16,"Hunejan,Isfahan,Iran"
17,"Muscat,Oman"
18,"Lawrence,Massachusetts,United States"
19,Not found
20,Not found
21,"Lawrence,Massachusetts,United States"
22,"Lawrence,Massachusetts,United States"
23,Not found
24,"Jebel Hafeet,Abu Dhabi,United Arab Emirates"
25,Not found
26,"Rabat,Morocco"
27,"Dar es Salaam,Tanzania"
28,"Salem,Massachusetts,United States"
29,Not found
30,"Blacksburg,Virginia,United States"
31,Not found
32,"Dar es Salaam,Tanzania"
33,Not found
34,Not found
35,Not found
36,"Madinah,Saudi Arabia"
37,"Abu Dhabi,United Arab Emirates"
38,Not found
39,"Blacksburg,Virginia,United States"
40,"El Oued,Algeria"
41,"El Oued,Algeria"
42,"Port Dickson,Negeri Sembilan,Malaysia"
43,"Yibal Kuff,Al Zahirah,Oman"
44,Not found
45,"Muqeible,Israel"
46,Not found
47,Not found
48,"Madinah,Saudi Arabia"
49,"Dar es Salaam,Tanzania"
50,"Sha'wa',Ghadamis,Libya"
51,Not found
52,"Salem,Massachusetts,United States"
53,"Tafilelte,Bounoura,Algeria"
54,"Deir Ballut,Palestine"
55,"Abu Dhabi,United Arab Emirates"
56,"Madinah,Saudi Arabia"
57,"Tucson,Arizona,United States"
58,"Sydney,New South Wales,Australia"
59,"Medan,Indonesia"
60,Not found
61,Not found
62,Not found
63,"Medan,Indonesia"
64,Not found
65,Not found
66,"Sukuta,,Gambia"
67,"Sukuta,,Gambia"
68,"Beni Isguen,Bounoura,Algeria"
69,Not found
70,"El-Obour,Cairo,Egypt"
71,"Al Dhahirah,Oman"
72,Not found
73,Not found
74,"Baghdad,Iraq"
75,Not found
76,"Slough,United Kingdom"
77,"Abha,Saudi Arabia"
78,Not found
79,"Kousseri,Cameroon"
80,Not found
81,Not found
82,"Sharjia,Saudi Arabia"
83,"Barquisimeto,Venezuela"
84,Not found
85,Not found
86,"Tolna,Hungary"
87,"Debrecen,Hungary"
88,Not found
89,Not found
90,Not found
91,"Margate,Kent,United Kingdom"
92,Not found
93,Not found
94,"Siwa,Matrouh,Egypt"
95,"Tolna,Hungary"
96,
97,"Sydney,Australia"
98,Not found
99,"Charlestown,Rhode Island,United States"
100,Not found
101,"Al Khobar,Eastern Province,Saudi Arabia"
102,Not found
103,Not found
104,"Abu Dhabi,United Arab Emirates"
105,Not found
106,"Sukuta,Gamibia"
107,Not found
108,"Sukuta,Gamibia"
109,Not found
110,Not found
111,Not found
112,Not found
113,Not found
114,"Port Dickson,Negeri Sembilan,Malaysia"
115,"Muscat,Oman"
116,Not found
117,"Baghdad,Iraq"
118,"Kilifi,Kenya"
119,"Port Dickson,Negeri Sembilan,Malaysia"
120,"Curepipe,Plaines Wilhems,Mauritius"
121,Not found
122,
123,"Medina,Saudi Arabia"
124,"Lawrence,Massachusetts,United States"
125,Not found
126,"Slough,United Kingdom"
127,"Grimsby,Linconshire,United Kingdom"
128,Not found
129,Not found
130,"Curepipe,Plaines Wilhems,Mauritius"
131,Not found
132,Not found
133,"Bouznika,Morocco"
134,Not found
135,Not found
136,Not found
137,Not found
138,"Blacksburg,Virginia,United States"
139,"ِAl Khatim,Abu Dhabi,United Arab Emirates"
140,"Hunstanton,Norfolk,United Kingdom"
141,Not found
142,Not found
