Index,Location,Latitude,Longitude
0,"Arfoud, Pachalik de Arfoud باشوية أرفود, Errachidia Province, Drâa-Tafilalet, 52200, Morocco",31.434992049999998,-4.232829342957164
1,"Ben Slimane, Pachalik de Benslimane باشوية بن سليمان, Benslimane Province, Casablanca-Settat, 13000, Morocco",33.616870899999995,-7.123036042233153
2,"Port Dickson, Negeri Sembilan, 71000, Malaysia",2.5228943,101.7945134
3,"Sidi Moussa Ben Ali, caïdat de Sidi Moussa Ben Ali, cercle de Zenata, Prefecture of Mohammédia, Casablanca-Settat, 28814, Morocco",33.5593266,-7.3817878
4,"Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 46000, Nepal",27.708317,85.3205817
5,Not found,0.0,0.0
6,Not found,0.0,0.0
7,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",24.4538352,54.3774014
8,"Tangier, Pachalik de Tanger باشوية طنجة, Prefecture of Tangier - Assilah, Tangier-Tetouan-Al Hoceima, Morocco",35.7642313,-5.842961427833071
9,Not found,0.0,0.0
10,"City of Sarajevo, Sarajevo Canton, Federation of Bosnia and Herzegovina, Bosnia and Herzegovina",43.8519774,18.3866868
11,"Negeri Sembilan, Malaysia",2.7831895,102.1925319
12,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",24.4538352,54.3774014
13,"Lawrence, Essex County, Massachusetts, United States",42.7070354,-71.1631137
14,"Ludwigshafen am Rhein, Rhineland-Palatinate, Germany",49.4704113,8.4381568
15,"Calgary, Alberta, Canada",51.0456064,-114.057541
16,Not found,0.0,0.0
17,"Muscat, Muscat Governorate, Oman",23.5882019,58.3829448
18,"Lawrence, Essex County, Massachusetts, United States",42.7070354,-71.1631137
19,Not found,0.0,0.0
20,Not found,0.0,0.0
21,"Lawrence, Essex County, Massachusetts, United States",42.7070354,-71.1631137
22,"Lawrence, Essex County, Massachusetts, United States",42.7070354,-71.1631137
23,Not found,0.0,0.0
24,"Jebel Hafeet, Jabal Hafeet, Al Ain, Abu Dhabi Emirate, United Arab Emirates",24.0579582,55.7808632
25,Not found,0.0,0.0
26,"Rabat, باشوية الرباط, Rabat Prefecture, Rabat-Salé-Kénitra, Morocco",34.02236,-6.8340222
27,"Dar es Salaam, Coastal Zone, Tanzania",-6.8160837,39.2803583
28,"Salem, Essex County, Massachusetts, 01970, United States",42.5195292,-70.8967226
29,Not found,0.0,0.0
30,"Blacksburg, Montgomery County, Virginia, United States",37.2296566,-80.4136767
31,Not found,0.0,0.0
32,"Dar es Salaam, Coastal Zone, Tanzania",-6.8160837,39.2803583
33,Not found,0.0,0.0
34,Not found,0.0,0.0
35,Not found,0.0,0.0
36,"Medina, Al Madinah Al Munawwarah, Medina Province, 41419, Saudi Arabia",24.471153,39.6111216
37,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",24.4538352,54.3774014
38,Not found,0.0,0.0
39,"Blacksburg, Montgomery County, Virginia, United States",37.2296566,-80.4136767
40,"El Oued, Algeria",33.215441,7.155321399098325
41,"El Oued, Algeria",33.215441,7.155321399098325
42,"Port Dickson, Negeri Sembilan, 71000, Malaysia",2.5228943,101.7945134
43,Not found,0.0,0.0
44,Not found,0.0,0.0
45,"Muqeibila, Jezreel Subdistrict, North District, Israel",32.5140208,35.2976327
46,Not found,0.0,0.0
47,Not found,0.0,0.0
48,"Medina, Al Madinah Al Munawwarah, Medina Province, 41419, Saudi Arabia",24.471153,39.6111216
49,"Dar es Salaam, Coastal Zone, Tanzania",-6.8160837,39.2803583
50,Not found,0.0,0.0
51,Not found,0.0,0.0
52,"Salem, Essex County, Massachusetts, 01970, United States",42.5195292,-70.8967226
53,Not found,0.0,0.0
54,"Deir Ballut, Area B, West Bank, Palestinian Territories",32.0648441,35.0254929
55,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",24.4538352,54.3774014
56,"Medina, Al Madinah Al Munawwarah, Medina Province, 41419, Saudi Arabia",24.471153,39.6111216
57,"Tucson, Pima County, Arizona, United States",32.2228765,-110.974847
58,"Sydney, Blacktown City Council, New South Wales, Australia",-33.768528,150.9568559523945
59,"City of Medan, North Sumatra, Sumatra, Indonesia",3.5896654,98.6738261
60,Not found,0.0,0.0
61,Not found,0.0,0.0
62,Not found,0.0,0.0
63,"City of Medan, North Sumatra, Sumatra, Indonesia",3.5896654,98.6738261
64,Not found,0.0,0.0
65,Not found,0.0,0.0
66,"Sukuta, Niani, Kuntaur, Central River Division, The Gambia",13.6170142,-14.923056
67,"Sukuta, Niani, Kuntaur, Central River Division, The Gambia",13.6170142,-14.923056
68,"Beni Isguen, At Izjen, Bounoura, Bounoura District, Ghardaia, 47005, Algeria",32.4766445,3.6972382
69,Not found,0.0,0.0
70,"El-Obour, Saad Al Din Al Shazly Axis, Al Huckstep Military City, Cairo, 11785, Egypt",30.1628754,31.4814749
71,"OXY Oman Safah Gas Plant, Ad Dhahirah Governorate, Oman",23.19042435,55.46018623079243
72,Not found,0.0,0.0
73,Not found,0.0,0.0
74,"Baghdad, Green Zone Municipality, Baghdad Governorate, Iraq",33.3061701,44.3872213
75,Not found,0.0,0.0
76,"Slough, England, United Kingdom",51.5111014,-0.5940682
77,"Abha, 'Asir Province, 26442, Saudi Arabia",18.2164282,42.5043596
78,Not found,0.0,0.0
79,"Kousséri, Logone-et-Chari, Far-North, Cameroon",12.0755638,15.0246194
80,Not found,0.0,0.0
81,Not found,0.0,0.0
82,Not found,0.0,0.0
83,"Barquisimeto, Parroquia Concepción, Municipio Iribarren, Lara State, 3001, Venezuela",10.0774374,-69.3222293
84,Not found,0.0,0.0
85,Not found,0.0,0.0
86,"Tolna, Southern Transdanubia, Transdanubia, Hungary",46.4883447,18.5050005
87,"Debrecen, Debreceni járás, Hajdú-Bihar, North Great Plain, Great Plain and North, Hungary",47.531399,21.6259782
88,Not found,0.0,0.0
89,Not found,0.0,0.0
90,Not found,0.0,0.0
91,"Margate, Thanet, Kent, England, United Kingdom",51.3878174,1.3819699
92,Not found,0.0,0.0
93,Not found,0.0,0.0
94,"Siwa Oasis, Matruh, Egypt",29.2034664,25.5192273
95,"Tolna, Southern Transdanubia, Transdanubia, Hungary",46.4883447,18.5050005
96,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italy",46.3144754,11.0480288
97,"Sydney, Blacktown City Council, New South Wales, Australia",-33.768528,150.9568559523945
98,Not found,0.0,0.0
99,"Charlestown, South County, Rhode Island, 02813, United States",41.3831566,-71.641729
100,Not found,0.0,0.0
101,"Al Khubar, Eastern Province, 34436, Saudi Arabia",26.3039999,50.1960237
102,Not found,0.0,0.0
103,Not found,0.0,0.0
104,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",24.4538352,54.3774014
105,Not found,0.0,0.0
106,Not found,0.0,0.0
107,Not found,0.0,0.0
108,Not found,0.0,0.0
109,Not found,0.0,0.0
110,Not found,0.0,0.0
111,Not found,0.0,0.0
112,Not found,0.0,0.0
113,Not found,0.0,0.0
114,"Port Dickson, Negeri Sembilan, 71000, Malaysia",2.5228943,101.7945134
115,"Muscat, Muscat Governorate, Oman",23.5882019,58.3829448
116,Not found,0.0,0.0
117,"Baghdad, Green Zone Municipality, Baghdad Governorate, Iraq",33.3061701,44.3872213
118,"Kilifi County, Kenya",-3.15073925,39.67507159193717
119,"Port Dickson, Negeri Sembilan, 71000, Malaysia",2.5228943,101.7945134
120,"Curepipe, Plaines Wilhems, Mauritius",-20.3200121,57.52296545159157
121,Not found,0.0,0.0
122,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italy",46.3144754,11.0480288
123,"Medina, Al Madinah Al Munawwarah, Medina Province, 41419, Saudi Arabia",24.471153,39.6111216
124,"Lawrence, Essex County, Massachusetts, United States",42.7070354,-71.1631137
125,Not found,0.0,0.0
126,"Slough, England, United Kingdom",51.5111014,-0.5940682
127,Not found,0.0,0.0
128,Not found,0.0,0.0
129,Not found,0.0,0.0
130,"Curepipe, Plaines Wilhems, Mauritius",-20.3200121,57.52296545159157
131,Not found,0.0,0.0
132,Not found,0.0,0.0
133,"Bouznika, Pachalik de Bouznika, Benslimane Province, Casablanca-Settat, Morocco",33.781005,-7.1610294
134,Not found,0.0,0.0
135,Not found,0.0,0.0
136,Not found,0.0,0.0
137,Not found,0.0,0.0
138,"Blacksburg, Montgomery County, Virginia, United States",37.2296566,-80.4136767
139,"Al Khatim Chicken Farm, Lane 3101, Al Khatm, Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",24.1810585,55.0337926
140,"Hunstanton, King's Lynn and West Norfolk, Norfolk, England, United Kingdom",52.9393841,0.4901743
141,Not found,0.0,0.0
142,Not found,0.0,0.0
